degisken,karsilastirma,z,p_ham,p_bh
glcm_contrast,Guzel Sanatlar - Muhendislik,-17.26262972625062,8.992089852751221e-67,6.294462896925854e-66
glcm_contrast,Hukuk - Muhendislik,-11.109742764888113,1.124830722596912e-28,2.8632054757012303e-28
glcm_contrast,Isletme - Muhendislik,5.9374501047938075,2.89489104734172e-9,4.0528474662784075e-9
glcm_contrast,Mimarlik - Muhendislik,2.319344620901805,0.020376357819915997,0.02282152075830592
glcm_contrast,Denizcilik - Turizm,13.916734846515949,5.012867058098258e-44,1.7545034703343903e-43
glcm_contrast,Fen Edebiyat - Turizm,7.332906022108285,2.2521487271452336e-13,3.5033424644481414e-13
glcm_contrast,Guzel Sanatlar - Turizm,-2.199721986363721,0.027826625901230678,0.02996713558594073
glcm_contrast,Hukuk - Turizm,5.826152665722473,5.671973364372128e-9,7.56263115249617e-9
glcm_contrast,Isletme - Turizm,18.799707361009112,7.593416165929302e-79,1.0630782632301023e-77
glcm_contrast,Mimarlik - Turizm,16.73861342482229,6.856682760225532e-63,3.839742345726298e-62
glcm_contrast,Muhendislik - Turizm,20.350507024323907,4.5949739368373766e-92,1.2865927023144654e-90
glcm_homogeneity,Denizcilik - Fen Edebiyat,-7.437122302712382,1.0290227361631606e-13,1.6948609772099116e-13
glcm_homogeneity,Denizcilik - Guzel Sanatlar,-14.250725361829105,4.436490122506954e-46,1.242217234301947e-45
glcm_homogeneity,Fen Edebiyat - Guzel Sanatlar,-10.62452613337114,2.2917308895727243e-26,4.5834617791454486e-26
glcm_homogeneity,Denizcilik - Hukuk,-12.974000431627413,1.7182323310468676e-38,3.700808097639407e-38
glcm_homogeneity,Fen Edebiyat - Hukuk,-8.732653125566545,2.487671237352206e-18,4.6436529763907844e-18
glcm_homogeneity,Guzel Sanatlar - Hukuk,2.796448481029194,0.005166764775263003,0.005786776548294564
glcm_homogeneity,Denizcilik - Isletme,-2.331999293128866,0.019700728345778473,0.020430384951177674
glcm_homogeneity,Fen Edebiyat - Isletme,6.724069458908983,1.767181237394637e-11,2.7489485915027688e-11
glcm_homogeneity,Guzel Sanatlar - Isletme,15.699345325101982,1.5281089439288675e-55,7.131175071668048e-55
glcm_homogeneity,Hukuk - Isletme,14.350341214058858,1.0601435738547623e-46,3.298224451992594e-46
glcm_homogeneity,Denizcilik - Mimarlik,-3.3618436637510634,7.742394528211263e-4,9.032793616246474e-4
glcm_homogeneity,Fen Edebiyat - Mimarlik,5.899310613810022,3.6502348856840336e-9,5.1103288399576466e-9
glcm_homogeneity,Guzel Sanatlar - Mimarlik,15.601040136830347,7.161770868458569e-55,2.8647083473834275e-54
glcm_homogeneity,Hukuk - Mimarlik,14.232450126876808,5.7626808437005804e-46,1.466864214760148e-45
glcm_homogeneity,Isletme - Mimarlik,-1.2474236464158865,0.21224220060866125,0.21224220060866125
glcm_homogeneity,Denizcilik - Muhendislik,-6.57603766847247,4.831501989884236e-11,7.120108195618874e-11
glcm_homogeneity,Fen Edebiyat - Muhendislik,2.4321681155335106,0.015008739206985148,0.016163257607522467
glcm_homogeneity,Guzel Sanatlar - Muhendislik,14.617133923486898,2.184025787063454e-48,7.644090254722089e-48
glcm_homogeneity,Hukuk - Muhendislik,13.186964847201013,1.043006449824324e-39,2.433681716256756e-39
glcm_homogeneity,Isletme - Muhendislik,-5.674157084148319,1.3937319875853829e-8,1.8583093167805103e-8
glcm_homogeneity,Mimarlik - Muhendislik,-4.689299223657625,2.7414226754864645e-6,3.4890834051645912e-6
glcm_homogeneity,Denizcilik - Turizm,-17.72268940327237,2.8019085141800217e-70,1.9613359599260153e-69
glcm_homogeneity,Fen Edebiyat - Turizm,-16.96026845357547,1.6160443455283958e-64,9.049848334959016e-64
glcm_homogeneity,Guzel Sanatlar - Turizm,-3.5793473637435524,3.4445336497750264e-4,4.1933453127695976e-4
glcm_homogeneity,Hukuk - Turizm,-7.553069834987523,4.2511689462891095e-14,7.439545656005941e-14
glcm_homogeneity,Isletme - Turizm,-21.49810415573647,1.6217893923725758e-102,1.5136700995477375e-101
glcm_homogeneity,Mimarlik - Turizm,-22.289186835953867,4.704594037807193e-110,6.58643165293007e-109
glcm_homogeneity,Muhendislik - Turizm,-24.949735375994333,2.1495434125918716e-137,6.01872155525724e-136
