longitude,latitude,fakulte,glcm_contrast_5x5,glcm_homogeneity_5x5
27.204159068526245,38.36672574961414,Fen Edebiyat,105.45499999999998,0.1582630768643874
27.20427353887577,38.36672555023452,Fen Edebiyat,113.74636363636365,0.16338018071352353
27.204388009224168,38.366725350743145,Fen Edebiyat,116.43590909090912,0.1627943283568959
27.20450247957143,38.36672515114001,Fen Edebiyat,127.86931818181824,0.16902155963765977
27.203815404724264,38.366636224295775,Fen Edebiyat,90.83113636363638,0.15588407801302384
27.203929874935234,38.36663602525206,Fen Edebiyat,96.64045454545453,0.1561591587627802
27.20404434514507,38.3666358260966,Fen Edebiyat,103.0375,0.1580080280472996
27.20415881535378,38.366635626829385,Fen Edebiyat,117.17931818181818,0.15275733027598948
27.20427328556136,38.366635427450404,Fen Edebiyat,123.71500000000003,0.15881434312919396
27.203815151978777,38.3665461015077,Fen Edebiyat,103.69454545454545,0.14424674219786116
27.2039296220478,38.36654590246463,Fen Edebiyat,107.03272727272727,0.1493208112445294
27.204044092115687,38.36654570330981,Fen Edebiyat,113.07568181818182,0.15256794921806
27.20415856218245,38.36654550404322,Fen Edebiyat,126.18000000000005,0.14960899087560095
27.20381489923442,38.36645597871824,Fen Edebiyat,111.55272727272728,0.12946506655153028
27.20392936916149,38.36645577967581,Fen Edebiyat,114.73249999999999,0.1358626444422956
27.204043839087433,38.36645558052163,Fen Edebiyat,121.15863636363636,0.13813279535058684
27.20381464649119,38.36636585592738,Fen Edebiyat,127.98613636363633,0.11621168737229276
27.202444523641887,38.36762995476426,Fen Edebiyat,157.41681818181817,0.10496769828237827
27.20232980094233,38.36754002958104,Fen Edebiyat,180.9995454545454,0.09780941952120781
27.20244427258745,38.36753983198384,Fen Edebiyat,161.79022727272732,0.10242116121997911
27.202558744231446,38.36753963427487,Fen Edebiyat,146.25136363636364,0.11152784900108882
27.202673215874327,38.36753943645415,Fen Edebiyat,121.01045454545458,0.11608007493744057
27.202329550030967,38.367449906798605,Fen Edebiyat,204.4527272727273,0.08808072272024514
27.202444021534134,38.36744970920203,Fen Edebiyat,186.3072727272727,0.0929007942031263
27.20255849303618,38.3674495114937,Fen Edebiyat,167.82840909090916,0.0998259923290322
27.202672964537097,38.36744931367361,Fen Edebiyat,139.01613636363638,0.10631172390815778
27.202787436036896,38.367449115741756,Fen Edebiyat,121.00545454545454,0.11432726294443724
27.202901907535573,38.36744891769815,Fen Edebiyat,124.7059090909091,0.11401833461661476
27.203016379033123,38.36744871954277,Fen Edebiyat,133.42454545454544,0.11469505312221392
27.202214827758397,38.36735998149894,Fen Edebiyat,222.96113636363629,0.09465970984878354
27.202329299120727,38.367359784014766,Fen Edebiyat,219.4736363636363,0.08492853178844761
27.20244377048194,38.367359586418836,Fen Edebiyat,200.8245454545455,0.09017436488442684
27.202558241842027,38.36735938871114,Fen Edebiyat,174.5502272727273,0.09629817199675056
27.202672713200993,38.36735919089168,Fen Edebiyat,144.88886363636365,0.10573191000596745
27.202787184558836,38.36735899296047,Fen Edebiyat,127.29704545454544,0.10748921728542048
27.202901655915557,38.36735879491749,Fen Edebiyat,129.03840909090908,0.10905424271682503
27.203016127271155,38.36735859676275,Fen Edebiyat,135.94545454545448,0.11043121872652567
27.203130598625627,38.36735839849626,Fen Edebiyat,133.32954545454538,0.11656486822742748
27.203245069978976,38.367358200118,Fen Edebiyat,116.83795454545455,0.11945211484665633
27.20221457699123,38.36726985871307,Fen Edebiyat,236.91113636363625,0.09800628104305376
27.20232904821161,38.367269661229535,Fen Edebiyat,232.24386363636356,0.09019305228821944
27.202443519430865,38.36726946363424,Fen Edebiyat,211.08568181818188,0.09617019054451068
27.202557990649,38.36726926592718,Fen Edebiyat,182.88454545454553,0.10008875340036634
27.202672461866012,38.36726906810836,Fen Edebiyat,154.37818181818182,0.10653130736103722
27.202786933081903,38.367268870177774,Fen Edebiyat,137.6356818181818,0.108435854125965
27.20290140429667,38.36726867213544,Fen Edebiyat,136.65977272727272,0.10946864055991246
27.20301587551031,38.36726847398133,Fen Edebiyat,138.15545454545452,0.11176623886521106
27.20313034672283,38.367268275715475,Fen Edebiyat,133.0588636363636,0.11658826170355265
27.203244817934223,38.367268077337854,Fen Edebiyat,112.93818181818182,0.12210399046631516
27.20335928914449,38.36726787884847,Fen Edebiyat,101.99568181818184,0.1335853331833629
27.203473760353628,38.36726768024734,Fen Edebiyat,80.73409090909088,0.14444698758953783
27.202099855145644,38.36717993329697,Fen Edebiyat,270.4763636363636,0.09065860048818863
27.202214326225185,38.36717973592583,Fen Edebiyat,256.9872727272726,0.09084699420890993
27.20232879730361,38.36717953844292,Fen Edebiyat,255.48068181818172,0.08516424112224169
27.202443268380915,38.36717934084825,Fen Edebiyat,230.99886363636358,0.08972127319565201
